REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,confirmed_count,death_count,2020-01-21,2020-01-24,2020-01-26,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-05,2020-02-10,2020-02-12,2020-02-13,2020-02-18,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,d2020-01-21,d2020-01-24,d2020-01-26,d2020-01-30,d2020-01-31,d2020-02-01,d2020-02-02,d2020-02-05,d2020-02-10,d2020-02-12,d2020-02-13,d2020-02-18,d2020-02-20,d2020-02-21,d2020-02-24,d2020-02-25,d2020-02-26,d2020-02-27,d2020-02-28,d2020-02-29,d2020-03-01,d2020-03-02,d2020-03-03,d2020-03-04,d2020-03-05,d2020-03-06,d2020-03-07,d2020-03-08,d2020-03-09,d2020-03-10,d2020-03-11,d2020-03-12,d2020-03-13,d2020-03-14,d2020-03-15,d2020-03-16,d2020-03-17,d2020-03-18,d2020-03-19,d2020-03-20,d2020-03-21,d2020-03-22,d2020-03-23,d2020-03-24,d2020-03-25,d2020-03-26,population,ObjectId,Shape__Area,Shape__Length,2020-02-06,2020-01-29,2020-02-08,2020-02-09,2020-01-22,2020-01-25,2020-02-19,2020-02-16,2020-01-27,2020-01-23,2020-02-14,2020-01-28,2020-02-04,2020-02-22,2020-02-15,2020-02-11,2020-02-03,2020-02-23,2020-02-17,2020-02-07
3,5,54,1779805,54,WV,West Virginia,0,G4000,A,6.226566E+10,4.898408E+08,38.64729,-80.61832,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,6,17,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829054,1,103133825554.715,2245474.7219899,,,,,,,,,,,,,,,,,,,,
3,5,12,294478,12,FL,Florida,0,G4000,A,1.389114E+11,3.13988E+10,28.45743,-82.40915,2483,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,1,2,5,1,1,9,1,19,5,35,44,36,69,92,106,131,197,243,223,243,506,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,1,1,1,1,1,2,2,4,3,0,6,20598139,2,221441276455.861,3513375.6982484,,,,,,,,,,,,,,,,,,,,
2,3,17,1779784,17,IL,Illinois,0,G4000,A,1.437841E+11,6.211277E+09,40.10287,-89.15261,2542,26,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,4,8,6,7,14,19,26,14,55,112,146,165,169,298,236,253,329,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,5,4,3,7,12821497,3,257355737477.742,2677473.13024487,,,,,,,,,,,,,,,,,,,,
2,4,27,662849,27,MN,Minnesota,0,G4000,A,2.062292E+11,1.894497E+10,46.31581,-94.19966,346,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,4,5,7,14,19,6,15,11,29,22,32,66,27,25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5527358,4,473007499803.473,3876508.97361511,,,,,,,,,,,,,,,,,,,,
3,5,24,1714934,24,MD,Maryland,0,G4000,A,2.51507E+10,6.980371E+09,38.94666,-76.67449,583,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,3,3,0,7,2,13,8,17,26,22,41,46,54,42,62,74,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,6003435,5,53260016690.5938,1688728.32374876,,,,,,,,,,,,,,,,,,,,
1,1,44,1219835,44,RI,Rhode Island,0,G4000,A,2.677998E+09,1.323453E+09,41.59742,-71.52728,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,9,0,0,1,0,0,29,10,12,7,8,0,51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056611,6,7106444187.54297,464178.162132376,,,,,,,,,,,,,,,,,,,,
4,8,16,1779783,16,ID,Idaho,0,G4000,A,2.140482E+11,2.393356E+09,44.34842,-114.5589,187,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,2,12,12,6,9,27,15,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1687809,7,424028504751.711,3850383.557653,,,,,,,,,,,,,,,,,,,,
1,1,33,1779794,33,NH,New Hampshire,0,G4000,A,2.318745E+10,1.028643E+09,43.67269,-71.58431,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,1,0,6,4,9,13,1,11,14,13,23,7,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1343622,8,46232149632.3359,1162784.94174044,,,,,,,,,,,,,,,,,,,,
3,5,37,1027616,37,NC,North Carolina,0,G4000,A,1.259197E+11,1.347011E+10,35.53971,-79.13087,766,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,2,7,3,7,7,7,25,28,47,52,90,30,111,98,104,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10155624,9,211350430094.66,2535387.82256429,,,,,,,,,,,,,,,,,,,,
1,1,50,1779802,50,VT,Vermont,0,G4000,A,2.387346E+10,1.031135E+09,44.06048,-72.67332,156,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3,4,0,2,0,5,30,3,23,22,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,1,624977,10,48235153472.3828,1125830.79338535,,,,,,,,,,,,,,,,,,,,
